Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
419,Floatzel,,2,,,3/124,,Naoki Saito,Fake,
290,Nincada,,1,,,10/124,,MAHOU,,
315,Roselia,,2,,,12/124,,Suwama Chiaki,,
315,Roselia,,1,,,13/124,,Shin Nagasawa,,
126,Magmar,,1,,,20/124,,Kagemaru Himeno,,
320,Wailmer,,2,,,25/124,,Atsuko Nishida,,
180,Flaafy,,2,,,39/124,,Atsuko Nishida,,
309,Electrike,,1,,,41/124,,kawayoo,,
425,Drifloon,,1,,,50/124,,Kouki Saitou,,
622,Golett,,1,,,58/124,,Mitsuhiro Arita,,
524,Roggenrola,,1,,,65/124,,Kyoko Umemoto,,
618,Stunfisk,,2,Reverse,,70/124,,HiRON,,
229,Houndoom,,3,,,75/124,,Akira Komayama,,
435,Skuntank,,2,Reverse,,77/124,,Midori Harada,,
443,Gible,,1,,,87/124,,Kagemaru Himeno,,
635,Hydreigon,,3,,,98/124,,Naoki Saito,,
288,Vigoroth,,2,,,102/124,,match,,
289,Slaking,,3,Art,,103/124,,Naoki Saito,,
333,Swablu,,2,,,104/124,,Aya Kusube,,
572,Minccino,,1,,,109/124,,Kagemaru Himeno,,
627,Rufflet,,1,Reverse,,111/124,,Suwama Chiaki,,
T,Devolution Spray,I,2,Full,,113/124,,Ryo Ueda,,
T,Tool Scrapper,I,2,,,116/124,,Ryo Ueda,,
T,Blend Energy,E,2,,,117/124,,5ban Graphics,,
