Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
358,Chimecho,,3,,,22/123,,Daisuke Ito,,
169,Crobat,,3,,,23/123,,Masakazu Fukuda,Yes,
409,Ramparados,,3,Reverse,,33/123,,Kazuyuki Kano,,
201,Unown I,,3,,,37/123,,Daisuke Ito,,
440,Happiny,,2,,,52/123,,Yuka Morii,,
304,Aron,,1,Reverse,,71/123,,Yuka Morii,,
113,Chansey,,1,,,76/123,,Atsuko Nishida,Yes,
309,Electrike,,1,,,81/123,,Kouki Saitou,,
223,Remoraid,,1,,,95/123,,Sumiyoshi Kizuki,,
27,Sandshrew,,1,,,96/123,,Ken Sugimori,,
T,Bebe's Search,Su,2,,,109/123,,Ken Sugimori,,
T,Dusk Ball,T,2,,,110/123,,Ryo Ueda,,
T,Quick Ball,T,2,,,114/123,,Ryo Ueda,,
