Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
540,Sewaddle,,1,,,1/101,,Mizue,,
541,Swadloon,,2,,,2/101,,Midori Harada,,
542,Leavanny,,3,,,3/101,,5ban Graphics,,
548,Petilil,,1,,,4/101,,Shigenori Negishi,,
549,Lilligant,,3,,,5/101,,Akira Komayama,,
557,Dwebble,,1,,,6/101,,MAHOU,,
588,Karrablast,,1,,,8/101,,sui,,
616,Shelmet,,1,Reverse,,11/101,,Midori Harada,,
513,Pansear,,1,,,16/101,,Shin Nagasawa,,
514,Simisear,,2,,,17/101,,Shin Nagasawa,,
636,Larvesta,,1,,,19/101,,Kagemaru Himeno,,
636,Larvesta,,1,,,20/101,,Naoki Saito,,
535,Tympole,,1,,,22/101,,Atsuko Nishida,,
582,Vanilite,,1,,,22/101,,Atsuko Nishida,,
593,Jellicent,,3,Reverse,,31/101,,Kagemaru Himeno,,
522,Blitzle,,1,,,35/101,,Shin Nagasawa,,
523,Zebstrika,,3,,,36/101,,match,,
587,Emolga,,2,,,37/101,,Naoki Saito,,
602,Tynamo,,1,,,38/101,,sui,,
602,Tynamo,,1,,,39/101,,Naoki Saito,,
603,Eelektrik,,2,,,40/101,,MAHOU,,
618,Stunfisk,,1,,,42/101,,Shin Nagasawa,,
562,Yamask,,1,,,45/101,,Shin Nagasawa,,
577,Solosis,,1,,,50/101,,Atsuko Nishida,,
578,Duosion,,2,,,51/101,,sui,,
579,Reuniclus,,3,,,52/101,,Kagemaru Himeno,,
605,Elgyem,,1,,,55/101,,Naoki Saito,,
533,Gurdurr,,2,Reverse,,63/101,,Sumiyoshi Kizuki,,
619,Mienfoo,,1,,,69/101,,match,,
622,Golett,,1,Reverse,,71/101,,Masakazu Fukuda,,
624,Pawniard,,1,,,75/101,,Mitsuhiro Arita,,
625,Bisharp,,2,,,76/101,,Kouki Saito,,
589,Escavalier,,3,Art,,80/101,,Kouki Saito,,
624,Pawniard,,1,,,81/101,,Tomokazu Komiya,,
632,Durant,,2,,,83/101,,Masakozu Fukuda,,
531,Audino,,2,,,85/101,,Naoki Saito,,
610,Axew,,1,,,86/101,,Atsuko Nishida,,
611,Fraxure,,2,,,87/101,,Kagemaru Himeno,,
621,Druddigon,,3,,,89/101,,Masakazu Fukuda,,
T,Cover Fossil,I,2,,,90/101,,Ryo Ueda,,
T,N,Su,2,,,92/101,,Ken Sugimori,,
T,Plume Fossil,I,2,,,93/101,,Ryo Ueda,,
T,Super Rod,I,2,,,95/101,,5ban Graphics,,
T,Xtransceiver,I,2,,,96/101,,Ryo Ueda,,
