Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
324,Torkoal,,1,Reverse,,100/127,,Kouki Saitou,,
387,Turtwig,,1,,,101/127,,Kagemaru Himeno,,
37,Vulpix,,1,,,102/127,,Mitsuhiro Arita,,
452,Drapion X,,5,Full,,123/127,,Ryo Ueda,,
267,Beautifly,,3,,,21/127,,Suwama Chiaki,,
487,Giratina,,3,Art,,28/127,,Yusuke Ishikawa,,
370,Luvdisc,,3,,,35/127,,Kagemaru Himeno,,
492,Shaymin,,3,Reverse,,38/127,,Kouki Saitou,Yes,
389,Torterra,,3,,,39/127,,Kagemaru Himeno,,
332,Cacturne,,2,,,42/127,,Mitsuhiro Arita,,
268,Cascoon,,2,,,44/127,,Yukiko Baba,,
408,Cranidos,,2,,,46/127,,Kouki Saitou,,
262,Mightyena,,2,,,54/127,,Kouki Saitou,,
89,Muk,,2,,,57/127,,Hajime Kusajima,,
336,Seviper,,2,,,61/127,,Sumiyoshi Kizuki,,
113,Chansey,,1,,,69/127,,Kouki Saitou,,
390,Chimchar,,1,,,70/127,,Kouki Saitou,,
415,Combee,,1,,,71/127,,Kagemaru Himeno,,
50,Diglett,,1,,,72/127,,Midori Harada,,
309,Electrike,,1,,,74/127,,Miki Tanaka,,
440,Happiny,,1,,,76/127,,Kagemaru Himeno,,
401,Kircketot,,1,,,78/127,,Kyoko Umemoto,,
131,Lapras,,1,,,79/127,,Mitsuhiro Arita,,
299,Nosepass,,1,,,84/127,,Mitsuhiro Arita,Yes,
54,Psyduck,,1,,,87/127,,Tomokazu Komiya,,
223,Remoraid,,1,,,90/127,,Miki Tanaka,,
447,Riolu,,1,,,91/127,,Kouki Saitou,,
353,Shuppet,,1,,,92/127,,Kyoko Umemoto,,
7,Squirtle,,1,,,96/127,,Masokazu Fukuda,,
333,Swablu,,1,,,97/127,,Kagemaru Himeno,,
128,Tauros,,1,,,98/127,,Mitsuhiro Arita,,
255,Torchic,,1,,,99/127,,Naoyo Kimura,,
T,Life Herd,T,2,Full,,108/127,,Ryo Ueda,,
T,Looker's Investigation,Su,2,Full,,109/127,,Ken Sugimori,,
T,Miasma Valley,S,2,,,111/127,,Ryo Ueda,,
T,Pokemon Rescue,T,2,,,115/127,,Ryo Ueda,,
T,Power Spray,T,2,,Team Galactics,117/127,,Yusuke Ishikawa,Bent,
T,Armor Fossil,T,1,,,119/127,,Ryo Ueda,,
T,Skull Fossil,T,1,,,120/127,,Ryo Ueda,,
