Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
94,Gengar GL,,2,,Gym Leader's,40/111,,Naoyo Kimura,,
471,Glaceon,,2,,,41/111,,Naoyo Kimura,,
450,Hippowdon,,2,,Elite Four's,42/111,,Kagemaru Himeno,,
305,Lairon,,2,,,44/111,,Yukiko Baba,,
357,Tropius,,2,,,52/111,,Ken Sugimori,,
136,Flareon,,1,,Elite Four's,60/111,,Masakazu Fukuda,,
472,Gliscor,,1,,Elite Four's,62/111,,Kagemaru Himeno,,
195,Quagsire GL,,1,,,76/111,,Midori Harada,,
363,Spheal,,1,,,82/111,,Tomokazu Komiya,,
120,Staryu,,1,,,83/111,,Atsuko Nishida,,
T,Lucian's Assignment,Su,2,Full,,92/111,,Ken Sugimori,,
T,SP Energy,E,2,,,101/111,,Kent Kanetsuna,,
