Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
426,Drifblim,,3,Art,Frontier Brain's,3/147,,Lee HyunJung,,
59,Arcanine G,,3,Reverse,Team Galactics,15/147,,Yusuke Ishikawa,,
12,Butterfree FB,,3,Reverse,Frontier Bran's,17/147,,Lee HyunJung,,
395,Empoleon FB,,3,Reverse,Frontier Brain's,27/147,,Hiraki Fuchino,,
350,Milotic C,,3,Art,Champions,35/147,,kawayoo,,
146,Moltres,,3,,,36/147,,Kouki Saitou,,
57,Primeape,,3,,,39/147,,Midori Harada,,
407,Roserade C,,3,,Champion's,40/147,,kawayoo,Yes,
321,Wailord,,3,,,47/147,,Midori Harada,,
334,Altaria C,,2,,Champion's,49/147,,kawayoo,,
59,Arcanine,,2,,,50/147,,Atsuko Nishida,,
286,Breloom,,2,,,52/147,,Kyoko Umemoto,,
421,Cherrim,,2,,,55/147,,Saya Tsuruta,,
445,Garchomp C,,2,,Champion's,60/147,,kawayoo,,
449,Hippopotas,,2,,,61/147,,Masakazu Fukuda,,
375,Metang,,2,Reverse,,69/147,,Kyoko Umemoto,,
198,Murkrow,,2,,,72/147,,Yukiko Baba,,
291,Ninjask,,2,,,73/147,,Kouki Saitou,,
369,Relicanth,,2,,,79/147,,Sumiyoshi Kizuki,,
112,Rhydon,,2,,,80/147,,Masokazu Fukuda,,
442,Spiritomb C,,2,,Champion's,84/147,,kawayoo,,
193,Yanma,,2,,,88/147,,Midori Harada,,
374,Beldum,,1,,,90/147,,Atsuko Nishida,,
399,Bidoof,,1,,,91/147,,Atsuko Nishida,,
418,Buizel,,1,,,92/147,,Kagemaru Himeno,,
427,Buneary,,1,,,94/147,,Kanako Eo,,
441,Chatot,,1,Reverse,,95/147,,Satoshi Ohta,,
433,Chingling,,1,,,98/147,,Kagemaru Himeno,,
415,Combee,,1,Reverse,,99/147,,Atsuko Nishida,,
341,Corphish,,1,,,100/147,,Hajime Kusajima,,
453,Croagunk,,1,,,101/147,,Masakazu Fukuda,,
349,Feebas,,1,,,104/147,,Mitsuhiro Arita,,
401,Kircketot,,1,,,109/147,,Kouki Saitou,,
56,Mankey,,1,,,112/147,,Kanaka Eo,,
439,Mime Jr.,,1,,,115/147,,Miki Tanaka,,
258,Mudkip,,1,,,116/147,,Kouki Saitou,,
46,Paras,,1,,,119/147,,Yukiko Baba,,
451,Skorupi,,1,,,128/147,,Hajime Kusajima,,
396,Starly,,1,,,129/147,,Mitsuhiro Arita,,
283,Surskit,,1,,,130/147,,Miki Tanaka,,
41,Zubat,,1,,,133/147,,Masokazu Fukuda,,
T,Champion's Room,S,2,,,135/147,,Yusuke Ishikawa,,
445,Garchomp C X,,5,,"Champion's, World Championships 2010",145/147,,Shizurow,,
