Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
13,Weedle,G,1,Reverse,,002/073,,Yuka Morii,,,9/24/2020
14,Kakuna,G,1,Reverse,,003/073,,Miki Tanaka,,,9/24/2020
15,Beedrill,G,2,,,004/073,,Hideki Ishikawa,,,9/24/2020
37,Vulpix,F,1,Reverse,,006/073,,Shibuzoh.,,,9/24/2020
494,Victini,F,2,Reverse,,007/073,,Taira Akitsu,,,9/24/2020
850,Sizzlipede,F,1,Reverse,,009/073,,Akira Komayama,,,9/24/2020
851,Centiskorch,F,3,Reverse,,010/073,,Shin Nagasawa,,,9/24/2020
318,Carvanha,W,1,,,011/073,,Shigenori Negishi,,,9/24/2020
856,Hatenna,P,1,,,018/073,,Akira Komayama,,,9/24/2020
857,Hattrem,P,2,,,019/073,,Hitoshi Ariga,,,9/24/2020
858,Hatterene,P,3,Art,,020/073,,Naoki Saito,,,9/24/2020
66,Machop,Fg,1,,,024/073,,Shibuzoh.,,,9/24/2020
67,Machoke,Fg,2,,,025/073,,AKIRA EGAWA,,,9/24/2020
68,Machamp,Fg,3,Art,,026/073,,Anesaki Dynamic,,,9/24/2020
448,Lucario V,Fg,5,Full,Full Art,027/073,,AKIRA EGAWA,,,9/24/2020
718,Zygarde,Fg,3,Art,,028/073,,Shin Nagasawa,,,9/24/2020
744,Rockruff,Fg,1,,,029/073,,Naoyo Kimura,,,9/24/2020
745,Lycanroc,Fg,3,Art,,030/073,,Ryota Fuse,,,9/24/2020
837,Rolycoly,Fg,1,,,031/073,,Masokazu Fukuda,,,9/24/2020
24,Arbok,D,2,,,034/073,,nagimiso,,,9/24/2020
263,Galarian Zigzagoon,D,1,,,035/073,,Kouki Saitou,,,9/24/2020
264,Galarian Linoone,D,1,,,036/073,,Akira Komayama,,,9/24/2020
862,Galarian Zigzagoon,D,3,Art,,037/073,,Shin Nagasawa,,,9/24/2020
359,Absol,D,2,,,038/073,,kodama,,,9/24/2020
510,Liepard,D,2,,,040/073,,Hasuno,,,9/24/2020
559,Scraggy,D,1,,,041/073,,miki kudo,,,9/24/2020
568,Trubbish,D,1,,,043/073,,nagimiso,,,9/24/2020
686,Inkay,D,1,,,044/073,,sui,,,9/24/2020
687,Malamar,D,2,,,045/073,,kawayoo,,,9/24/2020
827,Nickit,D,1,,,046/073,,Naoki Saito,,,9/24/2020
333,Swablu,N,1,,,048/073,,0313,,,9/24/2020
334,Altaria,N,3,Art,,049/073,,Taira Akitsu,,,9/24/2020
T,Full Heal,I,1,,,051/073,,Yoshinob Saito,,,9/24/2020
T,Great Ball,I,2,,,052/073,,Toyste Beach,,,9/24/2020
T,Hop,Su,2,,,053/073,,Sanosuke Sakuma,,,9/24/2020
T,Hyper Potion,I,2,Reverse,,054/073,,Ryo Ueda,,,9/24/2020
T,Kabu,Su,2,,,055/073,,take,,,9/24/2020
T,Marnie,Su,3,Reverse / Art,,056/073,,kirisAki,,,9/24/2020
T,Poke Ball,I,1,,,059/073,,Studio Bora Inc.,,,9/24/2020
T,Pokemon Center Lady,Su,2,,,060/073,,kirisAki,,,9/24/2020
T,Potion,I,1,Reverse,,061/073,,Ryo Ueda,,,9/24/2020
T,Professor's Research,Su,3,Art,Professor Magnolia,062/073,,Yusuke Ohmura,,,9/24/2020
T,Rotom Bike,I,2,,,063/073,,5ban Graphics,,,9/24/2020
T,Rotom Phone,I,2,,,064/073,,Ryo Ueda,,,9/24/2020
T,Sonia,Su,2,,,065/073,,Yusuke Ohmura,,,9/24/2020
T,Suspicious Food Tin,I,2,,,066/073,,Ryo Ueda,,,9/24/2020
T,Team Yell Grunt,Su,2,,,067/073,,nagimiso,,,9/24/2020
