Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
169,Crobat,G,3,Art,Delta Species,2/113,,Ryo Ueda,,,
373,Salamence,F,3,Art,Delta Species,14/113,,Ryo Ueda,,,
233,Porygon2,N,3,,,25/113,,Hisao Nakamura,,,
277,Swellow,N,3,,,32/113,,Atsuko Nishida,,,
110,Weezing,G,3,,,33/113,,Yukiko Baba,Used,,8/20/2019
42,Golbat,G,2,,,43/113,,Yukiko Baba,Used,,8/20/2019
78,Rapidash,F,2,,,52/113,,Atsuko Nishida,,,
371,Bagon,F,1,,Delta Species,57/113,,Masokazu Fukuda,,,
147,Dratini,El,1,,Delta Species,65/113,,Hajime Kusajima,Used,,8/20/2019
100,Voltorb,El,1,,Holon's,71/113,,Takao Unno,Used,,8/20/2019
109,Koffing,G,1,,,72/113,,Sachiko Adachi,Used,,8/20/2019
52,Meowth,N,1,,,77/113,,Hiroki Fuchino,,,
77,Ponyta,F,1,,,78/113,,Naoyo Kimura,,,
137,Porygon,N,1,,,80/113,,Hisao Nakamura,,,
276,Tailow,N,1,,,86/113,,Tomokazu Komiya,,,
41,Zubat,G,1,,,88/113,,Tomokazu Komiya,Used,,8/20/2019
T,Dual Ball,T,2,,,89/113,,'Big Mama' Tagawa,,,
T,Holon Lass,Su,2,,,92/113,,Kouki Saitou,,,
T,Holon Researcher,Su,2,,,95/113,,Kanako Eo,,,
T,Master Ball,T,2,,,99/113,,Keiji Kinebuchi,,,
T,Potion,T,1,,,101/113,,Shin-ichi Yoshikawa,,,
T,Switch,T,1,,,102/113,,Hiromichi Sugiyama,,,
T,Metal Energy,Sl,3,,,107/113,,Milky Isobe,,,
