Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
75,Graveler,Fg,2,,e-Card,29/97,,Hisao Nakamura,Used,,8/20/2019
253,Grovyle,G,2,,e-Card,31/97,,Atsuko Nishida,Used,,8/20/2019
307,Meditite,Fg,2,,e-Card,37/97,,Kouki Saitou,Used,,8/20/2019
117,Seadra,W,2,,e-Card,40/97,,Midori Harada,Used,,8/20/2019
329,Vibrava,N,2,,e-Card,46/97,,Hajime Kusajima,Used,,8/20/2019
74,Geodude,Fg,1,,e-Card,56/97,,Midori Harada,Used,,8/20/2019
116,Horsea,W,1,,e-Card,58/97,,Midori Harada,,,7/20/2019
228,Houndour,D,1,,e-Card,59/97,,Hajime Kusajima,Used,,8/20/2019
81,Magnemite,El,1,,e-Card,62/97,,Midori Harada,Dirty,,
328,Trapinch,Fg,1,,e-Card,78/97,,Yuka Morii,Used,,8/20/2019
