Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
1,Venusaur EX,G,5,Full,Full Art,1/108,,Eske Yoshinob,,,7/26/2019
10,Caterpie,G,1,,,3/108,,Ken Sugimori,,,9/17/2019
11,Metapod,G,2,,,4/108,,Ken Sugimori,,,
13,Weedle,G,1,Reverse,,5/108,,Mitsuhiro Arita,,,
14,Kakuna,G,2,,,6/108,,Keiji Kinebuchi,,,
15,Beedrill,G,3,,,7/108,,Ken Sugimori,,,10/12/2019
114,Tangela,G,1,,,8/108,,Mitsuhiro Arita,,,
4,Charmander,F,1,Reverse,,9/108,,Mitsuhiro Arita,,,6/29/2019
6,Charizard,F,3,Art,,11/108,,Mitsuhiro Arita,,,6/29/2019
37,Vulpix,F,1,Full,,14/108,,Ken Sugimori,,,
38,Ninetales,F,3,Reverse,,15/108,,Ken Sugimori,,,7/30/2019
58,Growlithe,F,1,,,17/108,,Ken Sugimori,,,
77,Ponyta,F,1,,,19/108,,Ken Sugimori,,,
126,Magmar,F,2,,,20/108,,Ken Sugimori,,,6/29/2019
60,Poliwag,W,1,,,23/108,,Ken Sugimori,,,
61,Poliwhirl,W,2,,,24/108,,Ken Sugimori,,,9/7/2019
86,Seel,W,1,,,28/108,,Ken Sugimori,,,
87,Dewgong,W,3,,,29/108,,Mitsuhiro Arita,,,7/20/2019
120,Staryu,W,1,Reverse,,30/108,,Keiji Kinebuchi,,,
121,Starmie,W,3,Reverse,,31/108,,Keiji Kinebuchi,,,
129,Magikarp,W,1,Reverse,,33/108,,Mitsuhiro Arita,,,9/7/2019
25,Pikachu,El,1,,,35/108,,Mitsuhiro Arita,,,
26,Raichu,El,3,Card,,36/108,,Ken Sugimori,,,7/26/2019
81,Magnemite,El,1,,,37/108,,Keiji Kinebuchi,,,6/29/2019
82,Magneton,El,3,Art,,38/108,,Keiji Kinebuchi,,,9/7/2019
100,Voltorb,El,1,,,39/108,,Keiji Kinebuchi,,,6/29/2019
101,Electrode,El,3,,,40/108,,Keiji Kinebuchi,,,6/29/2019
125,Electabuzz,El,1,Reverse,,41/108,,Ken Sugmiori,,,7/30/2019
32,Nidoran M,P,1,Reverse,,43/108,,Ken Sugimori,,,10/12/2019
33,Nidorino,P,2,,,44/108,,Mitsuhiro Arita,,,
92,Gastly,P,1,Reverse,,47/108,,Keiji Kinebuchi,,,9/7/2019
93,Haunter,P,2,,,48/108,,Keiji Kinebuchi,,,
96,Drowzee,P,1,,,49/108,,Ken Sugimori,,,9/7/2019
109,Koffing,P,2,,,50/108,,Mitsuhiro Arita,,,9/7/2019
150,Mewtwo,P,3,,,51/108,,Ken Sugimori,,,
150,Mewtwo EX,P,5,Art,Full Art,52/108,,Eske Yoshinob,,,9/7/2019
151,Mew,P,3,Reverse,,53/108,,Ken Sugimori,,,
27,Sandshrew,Fg,1,,,54/108,,Ken Sugimori,,,
50,Diglett,Fg,1,Reverse,,55/108,,Keiji Kinebuchi,,,12/28/2019
51,Dugtrio,Fg,3,,,56/108,,Keiji Kinebuchi,,,12/20/2019
66,Machop,Fg,1,,,57/108,,Mitsuhiro Arita,,,
67,Machoke,Fg,2,,,58/108,,Ken Sugimori,,,12/28/2019
95,Onix,Fg,1,,,61/108,,Ken Sugimori,,,
107,Hitmonchan,Fg,3,Art,,62/108,,Ken Sugimori,,,
83,Farfetch'd,N,3,,,68/108,,Ken Sugimori,,,
84,Doduo,N,1,,,69/108,,Mitsuhiro Arita,,,
113,Chansey,N,3,Art,,70/108,,Ken Sugimori,,,9/17/2019
137,Porygon,N,2,,,71/108,,Tomoaki Imakuni,,,6/29/2019
T,Blastiose Spirit Link,I,2,,,73/108,,5ban Graphics,,,
T,Charizard Spirit Link,I,2,,,75/108,,5ban Graphics,,,
T,Devolution Spray,I,2,,,76/108,,Keiji Kinebuchi,,,
T,Energy Retrieval,I,2,,,77/108,,Keiji Kinebuchi,,,
T,Maintenance,I,2,,,79/108,,Keiji Kinebuchi,,,9/7/2019
T,Misty's Determination,Su,2,,,80/108,,Ken Sugimori,,,6/29/2019
T,Pidgeot Spirit Link,I,2,,,81/108,,5ban Graphics,,,9/17/2019
T,Pokedex,I,2,,,82/108,,Keiji Kinebuchi,,,7/26/2019
T,Potion,I,2,Reverse,,83/108,,Keiji Kinebuchi,,,9/17/2019
T,Slowbro Spirit Link,I,2,,,86/108,,5ban Graphics,,,7/26/2019
T,Super Potion,T,2,Card,,87/108,,Keiji Kinebuchi,,,6/29/2019
T,Switch,I,2,,,88/108,,Keiji Kinebuchi,,,
T,Venusaur Spirit Link,I,2,,,89/108,,5ban Graphics,,,
T,Special Energy,E,2,,,90/108,,Keiji Kinebuchi,,,
T,Fire Energy,E,1,,,92/108,,,,,9/7/2019
T,Water Energy,E,1,,,93/108,,,,,12/28/2019
T,Electric Energy,E,1,,,94/108,,,,,9/17/2019
T,Psychic Energy,E,1,,,95/108,,,,,
T,Fight Energy,E,1,,,96/108,,,,,
T,Steel Energy,E,1,,,98/108,,,,,6/29/2019
T,Fairy Energy,E,1,,,99/108,,,,,9/17/2019
3,Mega Venusaur EX,G,5,Full,Full Art / Textured,100/108,,5ban Graphics,,,
103,Exeggutor,G,3,,Japanese,109/108,,Dr.Ooyama,,,10/12/2019
25,Flying Pikachu,El,3,,,110/108,,Toshinao Aoki,,,9/7/2019
84,Imakuni?'s Doduo,,3,,,112/108,,Imakuni?,,,
