Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
142,Aerodactyl,Fg,3,Art,,1/62,,Kagemaru Himeno,,,
89,Muk,G,3,Art,,13/62,,Mitsuhiro Arita,,,
149,Dragonite,N,3,,,19/62,,Kagemaru Himeno,,,
141,Kabutops,Fg,3,,,24/62,,Ken Sugimori,,,7/23/2019
146,Moltres,F,3,,,27/62,,Mitsuhiro Arita,Dirty,,
26,Raichu,El,3,,Edition 1,29/62,,Mitsuhiro Arita,,,
92,Gastly,P,2,,,33/62,,Mitsuhiro Arita,,,7/23/2019
42,Golbat,G,2,,,34/62,,Kagemaru Himeno,,,
55,Golduck,W,2,,,35/62,,Kagemaru Himeno,,,
76,Golem,Fg,2,,,36/62,,Kagemaru Himeno,Dirty,,
75,Graveler,Fg,2,,,37/62,,Kagemaru Himeno,,,
99,Kingler,W,2,,,38/62,,Kagemaru Himeno,,,
139,Omastar,W,2,,,40/62,,Ken Sugimori,,,
28,Sandslash,Fg,2,,,41/62,,Ken Sugimori,,,7/23/2019
117,Seadra,W,2,,,42/62,,Ken Sugimori,,,
80,Slowbro,P,2,,,43/62,,Kagemaru Himeno,Bent,,
110,Weezing,G,2,,,45/62,,Mitsuhiro Arita,,,
23,Ekans,G,1,,,46/62,,Kagemaru Himeno,Dirty,,
74,Geodude,Fg,1,,,47/62,,Kagemaru Himeno,,,
88,Grimer,G,1,,,48/62,,Mitsuhiro Arita,,,
116,Horsea,W,1,,,49/62,,Mitsuhiro Arita,,,
140,Kabuto,Fg,1,,,50/62,,Ken Sugimori,,,7/23/2019
98,Krabby,W,1,,,51/62,,Mitsuhiro Arita,,,
138,Omanyte,W,1,,,52/62,,Kagemaru Himeno,,,
54,Psyduck,W,1,,,53/62,,Kagemaru Himeno,,,
90,Shellder,W,1,,,54/62,,Mitsuhiro Arita,,,
79,Slowpoke,P,1,,,55/62,,Miki Takano,,,
72,Tentacool,W,1,,,56/62,,Kagemaru Himeno,,,
41,Zubat,G,1,,,57/62,,Kagemaru Himeno,,,
T,Energy Search,T,1,,,59/62,,Keiji Kinebuchi,,,
T,Gambler,T,1,,,60/62,,Keiji Kinebuchi,,,
T,Recycle,T,1,,,61/62,,Keiji Kinebuchi,,,
