Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
267,Beautifly,G,3,,,21/127,,Suwama Chiaki,,,
487,Giratina lv. 70,P,3,Art,,28/127,,Yusuke Ishikawa,,,
370,Luvdisc,W,3,,,35/127,,Kagemaru Himeno,,,
492,Shaymin,G,3,Reverse,,38/127,,Kouki Saitou,Yes,,
389,Torterra,G,3,,,39/127,,Kagemaru Himeno,,,
332,Cacturne,G,2,,,42/127,,Mitsuhiro Arita,,,
268,Cascoon,G,2,,,44/127,,Yukiko Baba,,,
408,Cranidos,Fg,2,,,46/127,,Kouki Saitou,,,
169,Crobat G,P,2,,Team Galactic's,47/127,,Makoto Imai,Used,,8/20/2019
229,Houndoom G,F,2,,Team Galactic's,50/127,,Kent Kanetsuna,Used,,8/20/2019
262,Mightyena,D,2,,,54/127,,Kouki Saitou,,,
89,Muk,P,2,,,57/127,,Hajime Kusajima,,,
336,Seviper,P,2,,,61/127,,Sumiyoshi Kizuki,,,
410,Shieldon,Sl,2,,,62/127,,Mitsuhiro Arita,Used,,8/20/2019
113,Chansey,N,1,,,69/127,,Kouki Saitou,,,
390,Chimchar,F,1,,,70/127,,Kouki Saitou,,,
415,Combee,G,1,,,71/127,,Kagemaru Himeno,,,
50,Diglett,Fg,1,,,72/127,,Midori Harada,,,
206,Dunspace,N,1,,,73/127,,Kouki Sairou,,,7/20/2019
309,Electrike,El,1,,,74/127,,Miki Tanaka,,,
440,Happiny,N,1,,,76/127,,Kagemaru Himeno,,,
401,Kricketot,G,1,,,78/127,,Kyoko Umemoto,,,
131,Lapras,W,1,,,79/127,,Mitsuhiro Arita,,,
200,Misdreavus,P,1,,,83/127,,Kagemaru Himeno,Used,,8/20/2019
299,Nosepass,Fg,1,,,84/127,,Mitsuhiro Arita,Used,,8/20/2019
54,Psyduck,W,1,,,87/127,,Tomokazu Komiya,,,
223,Remoraid,W,1,,,90/127,,Miki Tanaka,,,
447,Riolu,Fg,1,,,91/127,,Kouki Saitou,,,
353,Shuppet,P,1,,,92/127,,Kyoko Umemoto,,,
300,Skitty,N,1,,,93/127,,Masakazu Fukuda,,,7/20/2019
287,Slakoth,N,1,,,95/127,,Atsuko Nishida,Used,,8/20/2019
7,Squirtle,W,1,,,96/127,,Masokazu Fukuda,Tattered Edges,,
333,Swablu,N,1,,,97/127,,Kagemaru Himeno,,,
128,Tauros,N,1,,,98/127,,Mitsuhiro Arita,,,
255,Torchic,F,1,,,99/127,,Naoyo Kimura,,,
324,Torkoal,F,1,Reverse,,100/127,,Kouki Saitou,,,
387,Turtwig,G,1,,,101/127,,Kagemaru Himeno,,,
37,Vulpix,F,1,,,102/127,,Mitsuhiro Arita,,,
T,Life Herd,T,2,Reverse,,108/127,,Ryo Ueda,,,
T,Looker's Investigation,Su,2,Reverse,,109/127,,Ken Sugimori,,,
T,Miasma Valley,S,2,,,111/127,,Ryo Ueda,,,
T,Pokemon Rescue,T,2,,,115/127,,Ryo Ueda,,,
T,Power Spray,T,2,,Team Galactic's,117/127,,Yusuke Ishikawa,Bent,,
T,Armor Fossil,T,1,,,119/127,,Ryo Ueda,,,
T,Skull Fossil,T,1,,,120/127,,Ryo Ueda,,,
452,Drapion lv.X,D,5,Full,,123/127,,Ryo Ueda,,,
