Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
94,Gengar GL,P,2,,Gym Leader's,40/111,,Naoyo Kimura,,,
471,Glaceon,W,2,,,41/111,,Naoyo Kimura,,,
450,Hippowdon,Fg,2,,Elite Four's,42/111,,Kagemaru Himeno,,,
305,Lairon,Sl,2,,,44/111,,Yukiko Baba,,,
212,Scizor,G,2,,Elite Four's,48/111,,Kouki Saitou,,,8/30/2019
357,Tropius,G,2,,,52/111,,Ken Sugimori,,,
136,Flareon,F,1,,Elite Four's,60/111,,Masakazu Fukuda,,,
472,Gliscor,Fg,1,,Elite Four's,62/111,,Kagemaru Himeno,,,
30,Nidorina,P,1,,,73/111,,Ken Sugimori,,,
195,Quagsire GL,W,1,,,76/111,,Midori Harada,,,
422,Shellos,W,1,,,79/111,,Tomokazu Komiya,,,8/17/2019
363,Spheal,W,1,,,82/111,,Tomokazu Komiya,,,
120,Staryu,W,1,,,83/111,,Atsuko Nishida,,,
T,Lucian's Assignment,Su,2,Reverse,,92/111,,Ken Sugimori,,,
T,SP Energy,N,2,,,101/111,,Kent Kanetsuna,,,
405,Luxray LV.X,El,5,Confetti,Full Art / Gym Leader's / 25th Anniversary,109/111,,Mitsuhiro Arita,,,8/14/2022
