Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
94,Gengar GL,P,2,,Gym Leader's,40/111,,Naoyo Kimura,,,,85681
471,Glaceon,W,2,,,41/111,,Naoyo Kimura,,,,85746
450,Hippowdon,Fg,2,,Elite Four's,42/111,,Kagemaru Himeno,,,,86087
305,Lairon,Sl,2,,,44/111,,Yukiko Baba,,,,86581
357,Tropius,G,2,,,52/111,,Ken Sugimori,,,,90060
136,Flareon,F,1,,Elite Four's,60/111,,Masakazu Fukuda,,,,85504
472,Gliscor,Fg,1,,Elite Four's,62/111,,Kagemaru Himeno,,,,85776
30,Nidorina,P,1,,,73/111,,Ken Sugimori,,,7/20/2019
195,Quagsire GL,W,1,,,76/111,,Midori Harada,,,,88476
363,Spheal,W,1,,,82/111,,Tomokazu Komiya,,,,89449
120,Staryu,W,1,,,83/111,,Atsuko Nishida,,,,89551
T,Lucian's Assignment,Su,2,Full,,92/111,,Ken Sugimori,,,,86891
T,SP Energy,E,2,,,101/111,,Kent Kanetsuna,,,,89433
