Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
102	Exeggcute	G	1			1	Tomokazu Komiya			
265	Wurmple	G	1			3	Naoyo Kimura			7/30/2019
266	Silcoon	G	2			4	Shigenori Negishi			
268	Cascoon	G	1			6	MAHOU			5/18/2019
269	Dustox	G	3	Reverse	Full Art	8	match			8/6/2019
290	Nincada	G	1			9	Kyoko Umemoto			7/14/2019
357	Tropius	G	2			12	Kyoko Umemoto			
662	Fletchinder	F	2			14	Naoyo Kimura			7/7/2019
144	Articuno	W	3		Full Art	17	5ban Graphics			7/7/2019
278	Wingull	W	1			18	MAHOU			7/30/2019
279	Pelipper	W	2			19	Midori Harada			8/6/2019
25	Pikachu	El	1			20	Naoki Saito			7/7/2019
100	Voltorb	El	1	Reverse		21	Suwama Chiaki			7/30/2019
309	Electrike	El	1			24	Akira Komayama			7/14/2019
310	Manectric	El	2	Reverse		25	match			8/6/2019
177	Natu	P	1		Full Art	28	Kagemaru Himeno			
178	Xatu	P	3			29	Hajime Kusajima			9/21/2019
353	Shuppet	P	1			30	Yukiko Baba			
207	Gligar	Fg	1	Reverse		36	Suwama Chiaki			9/21/2019
472	Gliscor	Fg	2	Reverse		37	Hajime Kusajima			
688	Binacle	Fg	1	Reverse		38	Kanako Eo			7/7/2019
686	Inkay	D	1			41	Akira Komayama			7/7/2019
385	Jirachi	Sl	3	Art		42	Sanosuke Sakuma			8/6/2019
175	Togepi	Fa	1			43	HiRON			
176	Togetic	Fa	2	Reverse		44	Kanako Eo			7/30/2019
147	Dratini	Dr	1			49	Miki Tanaka			8/6/2019
149	Dragonite	Dr	3			51	kawayoo			5/18/2019
149	Dragonite	Dr	3	Reverse	Full Art	52	hatachu			5/18/2019
149	Dragonite	Dr	3	Full	Full Art	52	hatachu			5/18/2019
334	Altaria	Dr	2			53	Mitsuhiro Arita			7/7/2019
371	Bagon	Dr	1			54	Kagemaru Himeno			7/14/2019
371	Bagon	Dr	1			55	kirisAki			7/20/2019
372	Shelgon	Dr	2			56	sui			7/30/2019
635	Hydreigon EX	Dr	5	Full	Full Art	62	Eske Yoshinob			7/14/2019
21	Spearow	N	1			65	Masakazu Fukuda			8/6/2019
52	Meowth	N	1			67	Akira Komayama			5/18/2019
206	Dunsparce	N	1			68	Yuka Morii			7/20/2019
276	Tailow	N	1			70	Atsuko Nishida			
333	Swablu	N	1	Reverse		73	Mizue			
519	Pidove	N	1			78	kirisAki			7/14/2019
520	Tranquill	N	2			79	sui			
521	Unfezant	N	2			80	Shigenori Negishi			7/7/2019
521	Unfezant	N	3		Full Art	81	TOKIYA			
661	Fletchling	N	1			82	Kanako Eo			
T	Mega Turbo	I	2			86	Toyste Beach			7/30/2019
T	Revive	I	2			88	Toyste Beach			8/6/2019
T	Trainers' Mail	I	2			92	Toyste Beach			7/14/2019
T	Ultra Ball	I	2			93	5ban Graphics			5/18/2019
T	Wally	Su	2			94	Megumi Mizutani			
T	Wide Lens	I	2			95	Toyste Beach			7/14/2019
475	Gallade EX	P	5	Full	Full Art / Textured	99	Ryo Ueda			
