Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
387,Turtwig,G,1,,,7/156,,OOYAMA,,,5/11/2019
126,Magmar,F,1,,,18/156,,Yumi,,,
757,Salandit,F,1,,,25/156,,Misa Tsutsui,,,5/11/2019
453,Croagunk,P,1,,,56/156,,SATOSHI NAKAI,,,5/11/2019
408,Cranidos,Fg,2,,,64/156,,Kouki Saitou,,,5/11/2019
447,Riolu,Fg,1,,,66/156,,Kyoko Umemoto,,,5/11/2019
198,Murkrow,D,1,Full,,71/156,,match,,,5/11/2019
485,Heatran,Sl,3,Art,,88/156,,tetsuya koizumi,,,
108,Lickitung,N,1,,,102/156,,Mizue,,,
133,Eevee,N,1,,,105/156,,Hideki Ishikawa,,,5/11/2019
765,Oranguru,N,2,,,114/156,,Kouki Saitoi,,,5/11/2019
772,Type: Null,N,3,,,115/156,,match,,,5/11/2019
T,Lillie,Su,2,,,125/156,,Sanosuke Sakuma,,,
T,Missing Clover,I,2,,,129/156,,Toyste Beach,,,5/11/2019
T,Pokemon Fan Club,Su,2,,,133/156,,Sanosuke Sakuma,,,
